PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=0.127 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.044 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=0.075 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=0.070 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=0.025 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=0.071 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=0.028 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=0.046 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=0.081 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=0.084 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=0.058 ms
